Train,Heure,Quai
TER88700,5.45,4AB
TER88538,13.51,xxx
TER88510,14.21,7CD
TER88512,15.21,8AB
TER88740,15.45,3AB
TER88808,16.03,9AB
TER88514,16.21,8AB
TER88810,16.33,9AB
TER88742,16.45,5AB
TER88744,17.05,9AB
TER88516,17.21,9AB

